naslov;leto;skupina;cas;zanri;drzava;sezone;ocena
Numberblocks;2017;TV-Y;5;animation;GB;50;86
Puffin Rock;2015;TV-Y;11;comedy,animation,family,european;IE;20;86
Scissor Seven;2018;TV-PG;16;comedy,drama,action,animation,fantasy,romance;CN;30;86
Tear Along the Dotted Line;2021;TV-14;19;drama,comedy,animation;IT;10;87
Vinland Saga;2019;TV-MA;24;animation,action,drama,war,history;JP;20;88
Neon Genesis Evangelion;1995;TV-14;24;drama,scifi,animation,action,fantasy,thriller;JP;10;85
Some Assembly Required;2014;TV-G;24;comedy,documentary,reality;CA;40;85
Cowboy Bebop;1998;TV-14;25;animation,action,scifi,western,comedy,drama,thriller;JP;10;89
Demon Slayer: Kimetsu no Yaiba;2019;TV-MA;25;scifi,action,animation,horror,fantasy,thriller;JP;30;87
The IT Crowd;2006;TV-14;25;comedy,european;GB;50;85
Violet Evergarden;2018;TV-14;25;animation,scifi,drama,fantasy,romance;JP;10;84
BoJack Horseman;2014;TV-MA;26;comedy,drama,animation;US;60;88
Midnight Diner;2009;TV-MA;27;drama,comedy;JP;50;86
Kotaro Lives Alone;2022;TV-14;27;animation,drama,comedy;JP;10;84
Heartstopper;2022;TV-14;28;romance,drama;GB;30;87
Arrested Development;2003;TV-MA;28;comedy;US;50;87
Still Game;2002;TV-14;29;comedy,european;GB;90;89
The Creature Cases;2022;TV-Y;29;animation,comedy,family,action;US;10;85
Pablo Escobar: The Drug Lord;2012;TV-14;44;crime,drama,thriller,history;CO;10;84
El Reemplazante;2012;TV-MA;45;drama;CL;20;85
Leah Remini: Scientology and the Aftermath;2016;TV-14;46;documentary,history;US;30;90
Anne with an E;2017;TV-G;46;drama,family;CA;30;87
Wentworth;2013;TV-MA;46;drama,thriller,crime;AU;90;86
Queer Eye;2018;TV-14;47;reality;US;60;85
Breaking Bad;2008;TV-MA;48;drama,crime,thriller;US;50;95
Lenox Hill;2020;TV-MA;48;documentary;US;10;86
Better Call Saul;2015;TV-MA;49;drama,crime;US;60;88
Shtisel;2013;TV-14;49;drama;IL;30;86
Our Planet;2019;TV-G;50;documentary;GB;10;93
The Last Dance;2020;TV-MA;50;documentary,history,sport;US;10;91
Sacred Games;2018;TV-MA;50;action,drama,crime,thriller;IN;20;85
Chef's Table;2015;TV-MA;50;documentary;US;70;85
Middleditch & Schwartz;2020;TV-MA;51;comedy;US;10;86
Narcos;2015;TV-MA;52;drama,thriller,crime;US;30;88
House of Cards;2013;TV-MA;52;drama;US;60;87
Move to Heaven;2021;TV-MA;52;drama;KR;10;86
James Acaster: Repertoire;2018;TV-14;52;comedy;GB;10;84
Mindhunter;2017;TV-MA;53;drama,crime,thriller;US;20;86
Shameless;2011;TV-MA;54;drama,comedy;US;110;86
The Last Kingdom;2015;TV-MA;55;action,drama,war,history,european;GB;50;85
Call the Midwife;2012;TV-PG;55;family,drama,history,european;GB;110;85
Dark;2017;TV-MA;56;scifi,crime,drama,thriller;DE;30;87
The Crown;2016;TV-MA;56;drama,history,european;GB,US;50;87
The Queen's Gambit;2020;TV-MA;56;drama,sport;US;10;86
The Great British Baking Show;2010;TV-PG;57;reality,european;GB;120;86
Peaky Blinders;2013;TV-MA;58;crime,drama,european;GB;60;88
Top Gear;2002;TV-PG;58;comedy,reality,european,music;GB;320;87
The Haunting of Hill House;2018;TV-MA;58;thriller,drama,horror;US;10;86
Borgen;2010;TV-MA;58;drama,european;DK;40;85
Black Mirror;2011;TV-MA;59;drama,scifi,thriller,european;GB;50;88
