ID,ime,pozicija,drzava,leto_rojstva,st_tekem,zacetna_poz,minute,goli,asistence,rumeni,rdeci
15,Robert Andrich,MF,Germany,1994,5,4,318,0,0,2,0
23,Alexander Bah,DF-MF,Denmark,1997,4,3,281,0,0,0,0
39,Jude Bellingham,MF-FW,England,2003,7,7,670,2,1,2,0
58,Jacob Bruun Larsen,FW,Denmark,1998,1,0,10,0,0,0,0
67,Joao Cancelo,DF-MF,Portugal,1994,4,4,345,0,0,1,0
83,Kingsley Coman,MF,France,1996,1,0,16,0,0,0,0
89,Marc Cucurella,DF,Spain,1998,6,6,545,0,1,0,0
101,Thomas Delaney,MF,Denmark,1991,3,1,84,0,0,0,0
109,Kasper Dolberg,FW,Denmark,1997,2,0,40,0,0,0,0
128,Joao Felix,MF-FW,Portugal,1999,2,1,105,0,0,0,0
132,Youssouf Fofana,MF,France,1999,3,0,41,0,0,0,0
142,Conor Gallagher,MF,England,2000,5,1,120,0,0,1,0
152,Antoine Griezmann,MF-FW,France,1991,6,4,394,0,0,1,0
158,Marc Guehi,DF,England,2000,6,6,570,0,1,2,0
173,Benjamin Henrichs,DF,Germany,1997,1,0,10,0,0,0,0
181,Pierre Hojbjerg,MF,Denmark,1995,4,4,353,0,0,0,0
189,Joselu,FW,Spain,1990,2,1,90,0,0,0,0
199,N'Golo Kante,MF,France,1991,6,6,511,0,0,0,0
212,Ezri Konsa,DF,England,1997,3,1,93,0,0,0,0
230,Aymeric Laporte,DF,Spain,1994,6,6,525,0,0,0,0
240,Fermin Lopez,MF,Spain,2003,1,0,29,0,0,0,0
259,Kylian Mbappe,FW,France,1998,5,5,464,1,1,1,0
276,Maximilian Mittelstadt,DF,Germany,1997,4,3,304,0,1,2,0
288,Jamal Musiala,FW,Germany,2003,5,5,419,3,0,0,0
295,Jesus Navas,DF,Spain,1985,3,2,157,0,0,1,0
299,Joao Neves,MF,Portugal,2004,2,1,77,0,0,0,0
303,Christian Norgaard,MF,Denmark,1994,3,0,38,0,0,1,0
313,Joao Palhinha,MF,Portugal,1995,4,4,299,0,0,2,0
321,Pepe,DF,Portugal,1983,4,4,408,0,0,0,0
327,Jordan Pickford,GK,England,1994,7,7,690,0,0,0,0
342,Goncalo Ramos,FW,Portugal,2001,1,0,25,0,0,0,0
349,Declan Rice,MF,England,1999,7,7,690,0,1,0,0
356,Antonio Rudiger,DF,Germany,1993,5,5,480,0,0,2,0
362,William Saliba,DF,France,2001,6,6,570,0,0,1,0
372,Kasper Schmeichel,GK,Denmark,1986,4,4,360,0,0,0,0
387,Antonio Silva,DF,Portugal,2003,2,1,73,0,0,0,0
393,Andreas Skov Olsen,MF-FW,Denmark,1999,3,1,122,0,0,0,0
427,Aurelien Tchouameni,MF,France,2000,5,5,470,0,0,2,0
433,Ferran Torres,FW-MF,Spain,2000,5,1,155,1,0,1,0
444,Dayot Upamecano,DF,France,1998,6,6,570,0,0,0,0
460,Daniel Vivian,DF,Spain,1999,2,1,123,0,0,1,0
469,Nico Williams,FW,Spain,2002,6,6,492,2,1,0,0
475,Lamine Yamal,FW,Spain,2007,7,6,503,1,4,1,0
46,Jaka Bijol,DF,Slovenia,1999,4,4,390,0,0,2,0
115,Vanja Drkusic,DF,Slovenia,1999,4,4,390,0,0,1,0
150,Jon Gorenc Stankovic,MF,Slovenia,1996,4,0,94,0,0,1,0
200,Zan Karnicnik,DF,Slovenia,1994,4,4,390,1,0,1,0
305,Jan Oblak,GK,Slovenia,1993,4,4,390,0,0,0,0
407,Petar Stojanovic,MF,Slovenia,1995,4,4,316,0,0,1,0
