id,starost,drzava,izkusnje,tedni,ure,naloge,videi,samoocena,tocke,opravljeno
150,28,UK,Beginner,9,4.5,52,49,2,18.0,0
300,48,Other,None,3,1.2,56,34,8,11.7,0
600,43,Indonesia,Intermediate,15,8.2,62,30,10,32.5,0
750,29,USA,Beginner,6,7.8,54,31,10,61.0,1
900,40,India,Advanced,7,6.9,59,38,3,58.4,0
1200,52,UK,Beginner,2,4.4,62,36,5,32.1,0
1500,30,Germany,Intermediate,3,10.4,48,36,8,62.4,1
1650,18,Pakistan,Beginner,5,10.6,46,34,10,47.2,0
1800,16,UK,Beginner,7,10.1,54,40,7,41.6,0
1950,51,Other,None,12,6.4,69,33,6,31.7,0
2100,44,India,Beginner,10,8.5,69,38,10,71.3,1
2250,28,Germany,Intermediate,3,5.3,68,32,9,71.3,1
2400,21,Indonesia,Beginner,15,11.2,53,29,3,34.9,0
2550,50,Other,Intermediate,15,2.7,61,46,2,45.3,0
2700,39,India,Beginner,1,4.9,72,47,1,44.5,0
2850,33,Pakistan,Beginner,12,7.4,60,34,3,39.5,0
3000,36,Pakistan,Advanced,12,3.6,57,48,7,59.8,0
