ID,ime,pozicija,drzava,leto_rojstva,st_tekem,zacetna_poz,minute,goli,asistence,rumeni,rdeci
23,Alexander Bah,DF-MF,Denmark,1997,4,3,281,0,0,0,0
58,Jacob Bruun Larsen,FW,Denmark,1998,1,0,10,0,0,0,0
83,Kingsley Coman,MF,France,1996,1,0,16,0,0,0,0
101,Thomas Delaney,MF,Denmark,1991,3,1,84,0,0,0,0
128,Joao Felix,MF-FW,Portugal,1999,2,1,105,0,0,0,0
142,Conor Gallagher,MF,England,2000,5,1,120,0,0,1,0
158,Marc Guehi,DF,England,2000,6,6,570,0,1,2,0
181,Pierre Hojbjerg,MF,Denmark,1995,4,4,353,0,0,0,0
199,N'Golo Kante,MF,France,1991,6,6,511,0,0,0,0
230,Aymeric Laporte,DF,Spain,1994,6,6,525,0,0,0,0
259,Kylian Mbappe,FW,France,1998,5,5,464,1,1,1,0
288,Jamal Musiala,FW,Germany,2003,5,5,419,3,0,0,0
299,Joao Neves,MF,Portugal,2004,2,1,77,0,0,0,0
313,Joao Palhinha,MF,Portugal,1995,4,4,299,0,0,2,0
327,Jordan Pickford,GK,England,1994,7,7,690,0,0,0,0
349,Declan Rice,MF,England,1999,7,7,690,0,1,0,0
362,William Saliba,DF,France,2001,6,6,570,0,0,1,0
387,Antonio Silva,DF,Portugal,2003,2,1,73,0,0,0,0
427,Aurelien Tchouameni,MF,France,2000,5,5,470,0,0,2,0
444,Dayot Upamecano,DF,France,1998,6,6,570,0,0,0,0
469,Nico Williams,FW,Spain,2002,6,6,492,2,1,0,0
46,Jaka Bijol,DF,Slovenia,1999,4,4,390,0,0,2,0
150,Jon Gorenc Stankovic,MF,Slovenia,1996,4,0,94,0,0,1,0
305,Jan Oblak,GK,Slovenia,1993,4,4,390,0,0,0,0
