leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
1901;Wilhelm Conrad;Röntgen;physics;male;1845-03-27;DE
1901;Emil;von Behring;medicine;male;1854-03-15;PL
1901;Henry;Dunant;peace;male;1828-05-08;CH
1901;Frédéric;Passy;peace;male;1822-05-20;FR
1901;Sully;Prudhomme;literature;male;1839-03-16;FR
1901;Jacobus H.;van 't Hoff;chemistry;male;1852-08-30;NL
1902;Emil;Fischer;chemistry;male;1852-10-09;DE
1902;Theodor;Mommsen;literature;male;1817-11-30;DE
1902;Albert;Gobat;peace;male;1843-05-21;CH
1902;Élie;Ducommun;peace;male;1833-02-19;CH
1902;Pieter;Zeeman;physics;male;1865-05-25;NL
1902;Ronald;Ross;medicine;male;1857-05-13;IN
1902;Hendrik A.;Lorentz;physics;male;1853-07-18;NL
1903;Pierre;Curie;physics;male;1859-05-15;FR
1903;Randal;Cremer;peace;male;1828-03-18;GB
1903;Henri;Becquerel;physics;male;1852-12-15;FR
1903;Marie;Curie;physics;female;1867-11-07;PL
1903;Niels Ryberg;Finsen;medicine;male;1860-12-15;DK
1903;Bjørnstjerne;Bjørnson;literature;male;1832-12-08;NO
1903;Svante;Arrhenius;chemistry;male;1859-02-19;SE
1904;José;Echegaray;literature;male;1832-04-19;ES
1904;Lord;Rayleigh;physics;male;1842-11-12;GB
1904;Institute of International Law;;peace;org;1873-00-00;
1904;Sir William;Ramsay;chemistry;male;1852-10-02;GB
1904;Ivan;Pavlov;medicine;male;1849-09-14;RU
1904;Frédéric;Mistral;literature;male;1830-09-08;FR
1905;Adolf;von Baeyer;chemistry;male;1835-10-31;DE
1905;Henryk;Sienkiewicz;literature;male;1846-05-05;PL
1905;Philipp;Lenard;physics;male;1862-06-07;SK
1905;Bertha;von Suttner;peace;female;1843-06-09;CZ
1905;Robert;Koch;medicine;male;1843-12-11;DE
1906;Giosuè;Carducci;literature;male;1835-07-27;IT
1906;Theodore;Roosevelt;peace;male;1858-10-27;US
1906;J.J.;Thomson;physics;male;1856-12-18;GB
1906;Santiago;Ramón y Cajal;medicine;male;1852-05-01;ES
1906;Henri;Moissan;chemistry;male;1852-09-28;FR
1906;Camillo;Golgi;medicine;male;1843-07-07;IT
1907;Alphonse;Laveran;medicine;male;1845-06-18;FR
1907;Eduard;Buchner;chemistry;male;1860-05-20;DE
1907;Rudyard;Kipling;literature;male;1865-12-30;IN
1907;Louis;Renault;peace;male;1843-05-21;FR
1907;Ernesto Teodoro;Moneta;peace;male;1833-09-20;IT
1907;Albert A.;Michelson;physics;male;1852-12-19;PL
1908;Ernest;Rutherford;chemistry;male;1871-08-30;NZ
1908;Rudolf;Eucken;literature;male;1846-01-05;DE
1908;Fredrik;Bajer;peace;male;1837-04-21;DK
1908;Ilya;Mechnikov;medicine;male;1845-05-15;UA
1908;Paul;Ehrlich;medicine;male;1854-03-14;PL
1908;Klas Pontus;Arnoldson;peace;male;1844-10-27;SE
1908;Gabriel;Lippmann;physics;male;1845-08-16;LU
1909;Guglielmo;Marconi;physics;male;1874-04-25;IT
1909;Theodor;Kocher;medicine;male;1841-08-25;CH
1909;Selma;Lagerlöf;literature;female;1858-11-20;SE
1909;Wilhelm;Ostwald;chemistry;male;1853-09-02;LV
1909;Ferdinand;Braun;physics;male;1850-06-06;DE
1909;Auguste;Beernaert;peace;male;1829-07-26;BE
1909;Paul Henri;d'Estournelles de Constant;peace;male;1852-11-22;FR
1910;Paul;Heyse;literature;male;1830-03-15;DE
1910;Permanent International Peace Bureau;;peace;org;1891-00-00;
1910;Johannes Diderik;van der Waals;physics;male;1837-11-23;NL
1910;Albrecht;Kossel;medicine;male;1853-09-16;DE
1910;Otto;Wallach;chemistry;male;1847-03-27;RU
1911;Alfred;Fried;peace;male;1864-11-11;AT
1911;Tobias;Asser;peace;male;1838-04-28;NL
1911;Marie;Curie;chemistry;female;1867-11-07;PL
1911;Wilhelm;Wien;physics;male;1864-01-13;RU
1911;Maurice;Maeterlinck;literature;male;1862-08-29;BE
1911;Allvar;Gullstrand;medicine;male;1862-06-05;SE
1912;Gerhart;Hauptmann;literature;male;1862-11-15;PL
1912;Alexis;Carrel;medicine;male;1873-06-28;FR
1912;Paul;Sabatier;chemistry;male;1854-11-05;FR
1912;Victor;Grignard;chemistry;male;1871-05-06;FR
1912;Gustaf;Dalén;physics;male;1869-11-30;SE
1912;Elihu;Root;peace;male;1845-02-15;US
1913;Charles;Richet;medicine;male;1850-08-26;FR
1913;Alfred;Werner;chemistry;male;1866-12-12;FR
1913;Henri;La Fontaine;peace;male;1854-04-22;BE
1913;Rabindranath;Tagore;literature;male;1861-05-07;IN
1913;Heike;Kamerlingh Onnes;physics;male;1853-09-21;NL
1914;Max;von Laue;physics;male;1879-10-09;DE
1914;Robert;Bárány;medicine;male;1876-04-22;AT
1914;Theodore W.;Richards;chemistry;male;1868-01-31;US
1915;William;Bragg;physics;male;1862-07-02;GB
1915;Lawrence;Bragg;physics;male;1890-03-31;AU
1915;Richard;Willstätter;chemistry;male;1872-08-13;DE
1915;Romain;Rolland;literature;male;1866-01-29;FR
1916;Verner;von Heidenstam;literature;male;1859-07-06;SE
1917;International Committee of the Red Cross;;peace;org;1863-00-00;
1917;Charles Glover;Barkla;physics;male;1877-06-07;GB
1917;Karl;Gjellerup;literature;male;1857-06-02;DK
1917;Henrik;Pontoppidan;literature;male;1857-07-24;DK
1918;Max;Planck;physics;male;1858-04-23;DE
1918;Fritz;Haber;chemistry;male;1868-12-09;PL
1919;Woodrow;Wilson;peace;male;1856-12-28;US
1919;Jules;Bordet;medicine;male;1870-06-13;BE
1919;Johannes;Stark;physics;male;1874-04-15;DE
1919;Carl;Spitteler;literature;male;1845-04-24;CH
1920;Charles Edouard;Guillaume;physics;male;1861-02-15;CH
1920;Walther;Nernst;chemistry;male;1864-06-25;PL
1920;August;Krogh;medicine;male;1874-11-15;DK
1920;Léon;Bourgeois;peace;male;1851-05-21;FR
1920;Knut;Hamsun;literature;male;1859-08-04;NO
1921;Anatole;France;literature;male;1844-04-16;FR
1921;Hjalmar;Branting;peace;male;1860-11-23;SE
1921;Albert;Einstein;physics;male;1879-03-14;DE
1921;Frederick;Soddy;chemistry;male;1877-09-02;GB
1921;Christian;Lange;peace;male;1869-09-17;NO
1922;Niels;Bohr;physics;male;1885-10-07;DK
1922;Fridtjof;Nansen;peace;male;1861-10-10;NO
1922;Francis W.;Aston;chemistry;male;1877-09-01;GB
1922;Otto;Meyerhof;medicine;male;1884-04-12;DE
1922;Jacinto;Benavente;literature;male;1866-08-12;ES
1922;Archibald V.;Hill;medicine;male;1886-09-26;GB
1923;Frederick G.;Banting;medicine;male;1891-11-14;CA
1923;John;Macleod;medicine;male;1876-09-06;GB
1923;Robert A.;Millikan;physics;male;1868-03-22;US
1923;Fritz;Pregl;chemistry;male;1869-09-03;SI
1923;William Butler;Yeats;literature;male;1865-06-13;IE
1924;Wladyslaw;Reymont;literature;male;1867-05-07;PL
1924;Willem;Einthoven;medicine;male;1860-05-21;ID
1924;Manne;Siegbahn;physics;male;1886-12-03;SE
1925;James;Franck;physics;male;1882-08-26;DE
1925;Gustav;Hertz;physics;male;1887-07-22;DE
1925;Sir Austen;Chamberlain;peace;male;1863-10-16;GB
1925;Charles G.;Dawes;peace;male;1865-08-27;US
1925;Richard;Zsigmondy;chemistry;male;1865-04-01;AT
1925;George Bernard;Shaw;literature;male;1856-07-26;IE
1926;Gustav;Stresemann;peace;male;1878-05-10;DE
1926;Aristide;Briand;peace;male;1862-03-28;FR
1926;Grazia;Deledda;literature;female;1871-09-27;IT
1926;Johannes;Fibiger;medicine;male;1867-04-23;DK
1926;Jean Baptiste;Perrin;physics;male;1870-09-30;FR
1926;The;Svedberg;chemistry;male;1884-08-30;SE
1927;Henri;Bergson;literature;male;1859-10-18;FR
1927;Ludwig;Quidde;peace;male;1858-03-23;DE
1927;Arthur H.;Compton;physics;male;1892-09-10;US
1927;C.T.R.;Wilson;physics;male;1869-02-14;GB
1927;Julius;Wagner-Jauregg;medicine;male;1857-03-07;AT
1927;Heinrich;Wieland;chemistry;male;1877-06-04;DE
1927;Ferdinand;Buisson;peace;male;1841-12-20;FR
1928;Charles;Nicolle;medicine;male;1866-09-21;FR
1928;Adolf;Windaus;chemistry;male;1876-12-25;DE
1928;Owen Willans;Richardson;physics;male;1879-04-26;GB
1928;Sigrid;Undset;literature;female;1882-05-20;DK
1929;Arthur;Harden;chemistry;male;1865-10-12;GB
1929;Hans;von Euler-Chelpin;chemistry;male;1873-02-15;DE
1929;Christiaan;Eijkman;medicine;male;1858-08-11;NL
1929;Louis;de Broglie;physics;male;1892-08-15;FR
1929;Thomas;Mann;literature;male;1875-06-06;DE
1929;Sir Frederick;Hopkins;medicine;male;1861-06-20;GB
1929;Frank B.;Kellogg;peace;male;1856-12-22;US
1930;Sinclair;Lewis;literature;male;1885-02-07;US
1930;Karl;Landsteiner;medicine;male;1868-06-14;AT
1930;Hans;Fischer;chemistry;male;1881-07-27;DE
1930;Nathan;Söderblom;peace;male;1866-01-15;SE
1930;Sir Chandrasekhara Venkata;Raman;physics;male;1888-11-07;IN
1931;Otto;Warburg;medicine;male;1883-10-08;DE
1931;Carl;Bosch;chemistry;male;1874-08-27;DE
1931;Friedrich;Bergius;chemistry;male;1884-10-11;PL
1931;Erik Axel;Karlfeldt;literature;male;1864-07-20;SE
1931;Jane;Addams;peace;female;1860-09-06;US
1931;Nicholas Murray;Butler;peace;male;1862-04-02;US
1932;Edgar;Adrian;medicine;male;1889-11-30;GB
1932;Sir Charles;Sherrington;medicine;male;1857-11-27;GB
