leto;ime;priimek;kategorija;spol;datum rojstva;drzava rojstva
2007;Roger B.;Myerson;economics;male;29-03-1951;US
1970;Louis;Néel;physics;male;22-11-1904;FR
2007;Sir Martin J.;Evans;medicine;male;01-01-1941;GB
1915;William;Bragg;physics;male;1862-07-02;GB
1989;Sidney;Altman;chemistry;male;07-05-1939;CA
2015;Youyou;Tu;medicine;female;30-12-1930;CN
1901;Wilhelm Conrad;Röntgen;physics;male;1845-03-27;DE
1977;Rosalyn;Yalow;medicine;female;19-07-1921;US
2004;Frank;Wilczek;physics;male;15-05-1951;US
1997;William D.;Phillips;physics;male;05-11-1948;US
1964;Martin Luther;King Jr.;peace;male;15-01-1929;US
1984;Richard;Stone;economics;male;30-08-1913;GB
1963;Karl;Ziegler;chemistry;male;1898-11-26;DE
1980;Jean;Dausset;medicine;male;19-10-1916;FR
1958;Boris;Pasternak;literature;male;1890-02-10;RU
2022;Svante;Pääbo;medicine;male;20-04-1955;SE
1989;Trygve;Haavelmo;economics;male;13-12-1911;NO
1925;Charles G.;Dawes;peace;male;1865-08-27;US
1974;Seán;MacBride;peace;male;26-01-1904;FR
2014;Malala;Yousafzai;peace;female;12-07-1997;PK
1996;Carlos Filipe Ximenes;Belo;peace;male;03-02-1948;TL
2018;James P.;Allison;medicine;male;07-08-1948;US
2009;Ada E.;Yonath;chemistry;female;22-06-1939;IL
2011;Jules A.;Hoffmann;medicine;male;02-08-1941;LU
1998;John;Pople;chemistry;male;31-10-1925;GB
1987;J. Georg;Bednorz;physics;male;16-05-1950;DE
1934;Harold C.;Urey;chemistry;male;1893-04-29;US
2007;Intergovernmental Panel on Climate Change;;peace;org;1988-00-00;
2006;Roger D.;Kornberg;chemistry;male;24-04-1947;US
1918;Max;Planck;physics;male;1858-04-23;DE
1963;Andrew;Huxley;medicine;male;22-11-1917;GB
1987;Robert M.;Solow;economics;male;23-08-1924;US
1993;Kary B.;Mullis;chemistry;male;28-12-1944;US
1974;George E.;Palade;medicine;male;19-11-1912;RO
1916;Verner;von Heidenstam;literature;male;1859-07-06;SE
1993;Douglass C.;North;economics;male;05-11-1920;US
1976;Betty;Williams;peace;female;22-05-1943;GB
1995;Pugwash Conferences on Science and World Affairs;;peace;org;1957-00-00;
1967;George;Porter;chemistry;male;06-12-1920;GB
1975;Howard M.;Temin;medicine;male;10-12-1934;US
1979;Abdus;Salam;physics;male;29-01-1926;PK
1976;Milton;Friedman;economics;male;31-07-1912;US
1902;Albert;Gobat;peace;male;1843-05-21;CH
1985;Jerome;Karle;chemistry;male;18-06-1918;US
1958;Edward;Tatum;medicine;male;14-12-1909;US
1981;Office of the United Nations High Commissioner for Refugees;;peace;org;14-12-1950;
1970;Hannes;Alfvén;physics;male;30-05-1908;SE
1947;André;Gide;literature;male;1869-11-22;FR
1919;Johannes;Stark;physics;male;1874-04-15;DE
1976;Saul;Bellow;literature;male;10-06-1915;CA
